Name,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
BRITISH LAND COMPANY PLC,Real Estate Investment Trusts,Diversified REITs,5120.38,523.0,941.59,32.67,4.69,2018
BLACKROCK THROGMORTON TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,319.58,440.0,542.66,nan,1.97,2017
BRADY PLC,Software &amp; Computer Services,Software,53.77,64.5,-2.42,nan,nan,2017
BRAEMAR SHIPPING SERVICES PLC,Industrial Transportation,Transportation Services,63.66,207.5,4.15,13.66,6.15,2018
BRAVE BISON GROUP PLC,Software &amp; Computer Services,Computer Services,12.68,2.4,0.51,nan,nan,2017
BRAVEHEART INVESTMENT GROUP PLC,Financial Services,Specialty Finance,3.59,13.5,13.4,nan,nan,2018
BREEDON GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,990.73,62.6,23.04,20.81,nan,2017
BREWIN DOLPHIN HOLDINGS PLC,Financial Services,Asset Managers,913.81,327.2,58.87,nan,4.3,2017
BRIGHTON PIER GROUP PLC (THE),Travel &amp; Leisure,Restaurants &amp; Bars,27.03,72.5,23.89,nan,nan,2018
BRITVIC PLC,Beverages,Soft Drinks,2116.41,818.0,-43.86,173.86,3.51,2017
BROOKS MACDONALD GROUP PLC,Financial Services,Asset Managers,194.38,1397.5,197.09,nan,2.37,2018
BROWN (N) GROUP PLC,General Retailers,Apparel Retailers,267.13,91.0,106.73,nan,7.56,2018
BRUNNER INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,296.71,695.0,862.01,nan,2.1,2017
BT GROUP PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,23624.07,240.1,-41.76,133.41,6.77,2018
BTG PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,3213.76,826.5,58.97,nan,nan,2018
BUNZL PLC,Support Services,Business Support Services,7969.57,2315.0,-268.83,105.76,2.24,2017
BURBERRY GROUP PLC,Personal Goods,Clothing &amp; Accessories,7139.4,1623.5,296.55,-62.8,2.44,2018
BURFORD CAPITAL LIMITED,Financial Services,Specialty Finance,3620.84,1572.0,238.93,nan,0.7,2017
BUSHVELD MINERALS LIMITED,Mining,General Mining,433.63,39.5,0.85,nan,nan,2017
BYOTROL PLC,Chemicals,Specialty Chemicals,7.54,1.95,1.47,nan,nan,2018
CABOT ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,4.14,0.62,2.59,nan,nan,2017
CADENCE MINERALS PLC,Mining,Platinum &amp; Precious Metals,9.23,0.12,0.32,8.03,nan,2017
CAFFYNS PLC,General Retailers,Specialty Retailers,10.11,375.0,931.86,51.62,5.29,2018
CAIRN ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,884.25,153.0,235.09,4.53,nan,2017
CAKE BOX HOLDINGS PLC,Travel &amp; Leisure,Restaurants &amp; Bars,65.4,162.5,nan,nan,nan,nan
CALEDONIA INVESTMENTS PLC,Equity Investment Instruments,Equity Investment Instruments,1564.31,2785.0,2918.6,nan,2.15,2018
CALEDONIA MINING CORPORATION PLC,Mining,Gold Mining,46.55,437.0,466.16,-17.81,4.01,2017
CAMBRIA AFRICA PLC,Equity Investment Instruments,Equity Investment Instruments,4.63,0.95,0.03,263.69,nan,2017
CAMBRIA AUTOMOBILES PLC,General Retailers,Specialty Retailers,54.5,54.5,28.99,-12.24,1.67,2017
CAMBRIDGE COGNITION HOLDINGS PLC,Health Care Equipment &amp; Services,Health Care Providers,17.18,83.5,12.94,nan,nan,2017
CAMELLIA PLC,Food Producers,Farming &amp; Fishing,292.77,10900.0,13222.3,-27.74,1.15,2017
CAPITAL &amp; COUNTIES PROPERTIES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,1966.21,229.9,329.75,26.73,0.47,2017
CAP-XX LIMITED,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,25.76,8.45,1.2,nan,nan,2018
CAPITAL &amp; REGIONAL PLC,Real Estate Investment Trusts,Retail REITs,200.12,26.55,67.02,nan,6.25,2017
CAPITA PLC,Support Services,Business Support Services,1872.8,108.45,nan,47.89,2.74,2017
CAPITAL DRILLING LIMITED,Mining,General Mining,53.65,39.5,40.47,-6.95,3.38,2017
CAPITAL GEARING TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,285.42,4080.0,3809.77,nan,0.69,2018
CARCLO PLC,Chemicals,Specialty Chemicals,58.74,80.0,36.48,60.48,nan,2018
CARD FACTORY PLC,General Retailers,Specialty Retailers,592.25,182.9,-33.15,73.67,12.58,2018
CARDIFF PROPERTY PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,22.2,1775.0,2125.7,nan,0.95,2017
CARETECH HOLDINGS PLC,Health Care Equipment &amp; Services,Health Care Providers,373.46,325.0,158.76,72.05,2.46,2017
CARIBBEAN INVESTMENT HOLDINGS LIMITED,Banks,Banks,16.92,17.0,59.27,nan,nan,2018
CARNIVAL PLC,Travel &amp; Leisure,Recreational Services,7277.69,3731.0,2181.51,36.34,2.49,2017
CARPETRIGHT PLC,General Retailers,Home Improvement Retailers,53.31,18.4,-10.8,274.61,nan,2018
CARR'S GROUP PLC,Food Producers,Farming &amp; Fishing,138.59,156.25,71.09,15.46,2.75,2017
CASPIAN SUNRISE PLC,Oil &amp; Gas Producers,Exploration &amp; Production,121.14,7.25,3.71,23.23,nan,2016
CASTLETON TECHNOLOGY PLC,Software &amp; Computer Services,Computer Services,76.25,93.75,-17.26,28.19,nan,2018
CATENAE INNOVATION PLC,Media,Broadcasting &amp; Entertainment,2.45,0.09,nan,70.75,nan,2017
CC JAPAN INCOME &amp; GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,187.34,142.5,nan,nan,nan,2017
CELLCAST PLC,Media,Broadcasting &amp; Entertainment,0.74,0.95,2.08,nan,nan,2017
CELLO HEALTH PLC,Health Care Equipment &amp; Services,Health Care Providers,116.23,111.0,8.35,-1.95,nan,2017
CENKOS SECURITIES PLC,Financial Services,Investment Services,39.82,69.0,56.2,nan,8.37,2017
CENTAMIN PLC,Mining,Gold Mining,1256.34,122.15,98.54,nan,nan,2017
CENTAUR MEDIA PLC,Media,Publishing,65.14,44.6,-6.44,nan,6.67,2017
CENTRAL ASIA METALS PLC,Mining,General Mining,382.77,213.0,118.39,41.21,3.99,2017
CENTRALNIC GROUP PLC,Software &amp; Computer Services,Internet,88.74,52.0,-28.16,24.7,nan,2017
CENTRICA PLC,"Gas, Water &amp; Multiutilities",Gas Distribution,7684.41,137.3,-29.05,127.23,8.7,2017
CERES POWER HOLDINGS PLC,Alternative Energy,Alternative Fuels,249.41,164.0,11.35,nan,nan,2018
CERILLION PLC,Software &amp; Computer Services,Computer Services,40.29,133.5,nan,-11.96,nan,2017
CHAARAT GOLD HOLDINGS LTD,Mining,Gold Mining,101.08,27.6,5.53,31.53,nan,2017
CHAMBERLIN PLC,Industrial Engineering,Industrial Machinery,6.25,78.5,34.29,nan,nan,2018
CHARACTER GROUP PLC,Leisure Goods,Toys,113.8,518.0,124.75,-43.0,4.0,2017
CHARIOT OIL &amp; GAS LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,9.32,2.62,25.47,nan,nan,2017
CHARLES TAYLOR PLC,Support Services,Business Support Services,168.8,236.0,-45.71,-83.88,3.87,2017
CHARTER COURT FINANCIAL SERVICES GROUP PLC,Financial Services,Mortgage Finance,598.3,259.6,nan,nan,1.73,2016
CHELVERTON UK DIVIDEND TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,35.6,171.0,249.61,nan,3.63,2018
CHELVERTON GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,2.7,49.5,60.49,4.87,nan,2018
CHEMRING GROUP PLC,Aerospace &amp; Defense,Defense,451.33,161.8,66.25,19.94,1.74,2017
CHESNARA PLC,Life Insurance,Life Insurance,517.91,344.5,183.68,-65.74,5.34,2016
CHINA NEW ENERGY LIMITED,Alternative Energy,Alternative Fuels,5.22,1.18,nan,-1.75,nan,2017
CHRISTIE GROUP PLC,Support Services,Business Support Services,24.8,93.5,nan,-60.9,2.08,2017
CHURCHILL CHINA PLC,Household Goods &amp; Home Construction,Durable Household Products,102.98,940.0,308.26,nan,2.15,2017
CINEWORLD GROUP PLC,Travel &amp; Leisure,Recreational Services,3608.88,257.6,19.17,35.9,3.57,2017
CIP MERCHANT CAPITAL LIMITED,Equity Investment Instruments,Equity Investment Instruments,39.88,73.0,nan,nan,nan,nan
CIRCASSIA PHARMACEUTICALS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,171.51,55.0,4.53,nan,nan,2017
CITY OF LONDON INVESTMENT GROUP PLC,Financial Services,Asset Managers,101.54,385.0,83.44,nan,6.59,2018
CITY OF LONDON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1390.75,380.0,429.16,nan,4.1,2018
CITY MERCHANTS HIGH YIELD TRUST LIMITED,Equity Investment Instruments,Equity Investment Instruments,169.91,174.25,189.32,nan,5.24,2016
CITY PUB GROUP PLC (THE),Travel &amp; Leisure,Restaurants &amp; Bars,106.97,177.5,89.91,-8.65,nan,2017
CIVITAS SOCIAL HOUSING PLC,Real Estate Investment Trusts,Residential REITs,662.92,104.0,nan,nan,nan,2018
CLARKE (T.) PLC,Construction &amp; Materials,Heavy Construction,37.01,87.6,-21.28,-70.73,4.24,2017
CLARKSON PLC,Industrial Transportation,Transportation Services,576.11,2125.0,430.32,nan,2.59,2017
CLEAR LEISURE PLC,Financial Services,Specialty Finance,3.86,0.71,0.35,nan,nan,2017
CLINIGEN GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,998.55,748.0,-121.11,nan,0.61,2018
CLIPPER LOGISTICS PLC,Support Services,Business Support Services,228.44,220.0,2.07,89.26,1.86,2018
CLONTARF ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1.65,0.23,-0.11,nan,nan,2017
CLOSE BROTHERS GROUP PLC,Banks,Banks,2178.73,1446.0,758.16,nan,3.97,2018
CLOUDBUY PLC,Software &amp; Computer Services,Software,2.61,2.0,nan,nan,nan,2017
CLOUDCALL GROUP PLC,Software &amp; Computer Services,Software,17.65,73.0,25.04,nan,nan,2017
CLS HOLDINGS PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,859.61,209.0,251.65,74.25,2.62,2017
CLUFF NATURAL RESOURCES PLC,Financial Services,Specialty Finance,12.51,2.3,0.24,nan,nan,2017
CMC MARKETS PLC,Financial Services,Investment Services,304.04,108.8,49.47,-22.69,33.24,2017
CML MICROSYSTEMS PLC,Technology Hardware &amp; Equipment,Semiconductors,70.98,417.0,107.92,nan,1.5,2018
COATS GROUP PLC,General Industrials,Diversified Industrials,1163.41,82.3,-12.39,-114.16,nan,2016
COBHAM PLC,Aerospace &amp; Defense,Aerospace,2336.49,96.84,5.6,37.34,nan,2017
COCA-COLA HBC AG,Beverages,Soft Drinks,9007.4,2426.0,286.76,30.02,1.98,2017
CODEMASTERS GROUP HOLDINGS PLC,Leisure Goods,Toys,226.1,159.0,nan,nan,nan,nan
COHORT PLC,Aerospace &amp; Defense,Defense,155.64,365.0,68.36,-15.51,2.34,2018
COLLAGEN SOLUTIONS PLC,Health Care Equipment &amp; Services,Medical Equipment,9.25,2.9,0.79,-12.43,nan,2018
COLUMBUS ENERGY RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,24.1,2.88,2.56,-13.35,nan,2017
COMPASS GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,26167.34,1629.0,-215.95,170.26,2.12,2017
COMPTOIR GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,12.88,10.5,31366.0,-28.77,-9.49,2017
COMPUTACENTER PLC,Software &amp; Computer Services,Computer Services,1148.26,965.0,332.97,-39.11,2.29,2017
CONCEPTA PLC,Health Care Equipment &amp; Services,Medical Equipment,4.99,2.55,1.84,-49.64,nan,2017
CONCURRENT TECHNOLOGIES PLC,Technology Hardware &amp; Equipment,Computer Hardware,49.81,68.5,15.56,nan,2.67,2017
CONDOR GOLD PLC,Mining,General Mining,20.83,30.75,1.92,nan,nan,2017
CONNECT GROUP PLC,Support Services,Business Support Services,105.87,44.0,nan,-181.48,10.06,2018
CONNEMARA MINING COMPANY PLC,Mining,General Mining,1.77,1.55,-0.48,nan,0.0,2017
CONROY GOLD &amp; NATURAL RESOURCES PLC,Mining,Gold Mining,2.19,9.25,-23.54,nan,nan,2017
CONSORT MEDICAL PLC,Health Care Equipment &amp; Services,Medical Supplies,461.55,869.0,141.07,38.77,1.75,2018
CONTOURGLOBAL PLC,Electricity,Conventional Electricity,1207.28,172.1,19.83,365.51,nan,2017
CONVATEC GROUP PLC,Health Care Equipment &amp; Services,Medical Supplies,2731.97,135.0,nan,121.29,nan,2016
CONYGAR INVESTMENT COMPANY PLC (THE),Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,103.15,182.5,201.27,nan,nan,2018
CORA GOLD LIMITED,Mining,Gold Mining,4.09,5.85,nan,nan,nan,2017
CORAL PRODUCTS PLC,General Industrials,Containers &amp; Packaging,9.5,11.5,7.25,55.51,2.27,2018
CORERO NETWORK SECURITY PLC,Software &amp; Computer Services,Software,50.25,11.25,2.09,nan,nan,2017
CORO ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,16.35,2.35,0.22,nan,nan,2017
COSTAIN GROUP PLC,Construction &amp; Materials,Heavy Construction,337.59,339.0,86.69,-115.39,3.04,2017
COUNTRYSIDE PROPERTIES PLC,Household Goods &amp; Home Construction,Home Construction,1369.8,295.8,nan,nan,16.5,2017
COUNTRYWIDE PLC,Real Estate Investment &amp; Services,Real Estate Services,140.05,8.5,-80.28,62.1,nan,2017
CPPGROUP PLC,Support Services,Business Support Services,58.12,6.5,1.56,nan,nan,2017
CQS NATURAL RESOURCES GROWTH AND INCOME PLC,Equity Investment Instruments,Equity Investment Instruments,58.26,86.1,142.35,27.9,4.86,2018
CQS NEW CITY HIGH YIELD FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,230.05,57.0,58.77,8.35,6.97,2017
CRADLE ARC PLC,Mining,General Mining,2.21,0.62,-37.58,607.05,nan,2017
CRANEWARE PLC,Software &amp; Computer Services,Software,654.13,2525.0,83.16,nan,1.14,2018
CRANSWICK PLC,Food Producers,Food Products,1357.11,2618.0,633.73,-4.1,1.89,2018
CRAVEN HOUSE CAPITAL PLC,Financial Services,Specialty Finance,6.97,3.55,789.68,nan,nan,2017
CREIGHTONS PLC,Personal Goods,Personal Products,19.04,30.5,14.72,-2.3,1.19,2018
CREO MEDICAL GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,239.79,200.0,nan,-93.32,nan,2017
CREST NICHOLSON HOLDINGS PLC,Household Goods &amp; Home Construction,Home Construction,843.21,329.2,308.41,-4.06,5.83,2017
CRH PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,16896.03,2072.0,775.81,40.45,2.17,2017
CRIMSON TIDE PLC,Software &amp; Computer Services,Software,10.29,2.25,0.25,-4.18,nan,2017
CRODA INTERNATIONAL PLC,Chemicals,Specialty Chemicals,6167.48,4610.0,321.85,46.39,1.84,2017
CROMA SECURITY SOLUTIONS GROUP PLC,Support Services,Business Support Services,13.71,92.0,19.05,-18.85,1.53,2018
CROPPER (JAMES) PLC,Forestry &amp; Paper,Paper,87.02,960.0,241.06,20.59,0.89,2018
CRYSTAL AMBER FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,196.94,203.0,244.62,nan,1.14,2018
CSF GROUP PLC,Software &amp; Computer Services,Computer Services,1.12,0.7,nan,-84.04,nan,2018
CURTIS BANKS GROUP PLC,Financial Services,Specialty Finance,142.06,265.0,0.02,-770.83,nan,2017
CUSTODIAN REIT PLC,Real Estate Investment Trusts,Diversified REITs,459.32,113.6,103.79,nan,nan,2018
CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,Equity Investment Instruments,Equity Investment Instruments,369.38,109.0,nan,nan,0.81,2016
CVS GROUP PLC,General Retailers,Specialized Consumer Services,466.61,659.5,-65.12,43.75,nan,2018
CYANCONNODE HOLDINGS PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,17.6,9.15,5.54,nan,nan,2017
CYBG PLC,Banks,Banks,2585.83,nan,142.38,nan,2.31,2017
D4T4 SOLUTIONS PLC,Software &amp; Computer Services,Computer Services,70.34,196.0,29.01,-18.37,2.11,2018
DAEJAN HOLDINGS PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,917.43,5660.0,11125.27,13.88,1.72,2018
DAIRY CREST GROUP PLC,Food Producers,Food Products,656.62,426.4,96.81,111.28,4.41,2018
DART GROUP PLC,Travel &amp; Leisure,Airlines,1148.31,811.0,351.36,-38.19,0.9,2018
DCC PLC,Support Services,Industrial Suppliers,5880.23,5890.0,-329.86,38.63,1.87,2018
DE LA RUE PLC,Support Services,Business Support Services,435.88,417.5,nan,-163.51,4.91,2018
DEBENHAMS PLC,General Retailers,Broadline Retailers,62.99,5.75,-5.77,30.07,8.51,2017
DECHRA PHARMACEUTICALS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,2121.76,2070.0,-200.18,41.86,0.92,2018
DEEPMATTER GROUP PLC,Chemicals,Specialty Chemicals,14.87,2.7,0.57,nan,nan,2017
DEFENX PLC,Software &amp; Computer Services,Software,2.31,7.75,17.13,29.92,nan,2017
DEKELOIL PUBLIC LIMITED,Food Producers,Farming &amp; Fishing,9.58,3.2,4.4,114.13,116.03,2017
DELTEX MEDICAL GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,4.43,0.9,-0.33,110.44,nan,2017
DERWENT LONDON PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,3182.23,2843.0,3703.35,nan,1.93,2017
DESTINY PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,27.01,63.5,2419.38,nan,nan,2017
DEVRO PLC,Food Producers,Food Products,267.45,164.8,69.96,106.05,3.74,2017
DEWHURST PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,31.27,900.0,303.37,nan,3.61,2017
DEWHURST PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,26.09,510.0,303.37,nan,5.25,2017
DFS FURNITURE PLC,General Retailers,Home Improvement Retailers,385.71,184.0,-115.81,60.14,nan,2018
DIAGEO PLC,Beverages,Distillers &amp; Vintners,67614.05,2740.0,-97.34,90.75,2.4,2018
DIALIGHT PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,130.14,405.0,190.34,nan,nan,2017
DIGNITY PLC,General Retailers,Specialized Consumer Services,348.31,675.0,-679.13,1112.93,1.39,2017
DILLISTONE GROUP PLC,Software &amp; Computer Services,Software,9.34,47.5,-10.18,-15.87,0.78,2017
DIPLOMA PLC,Support Services,Industrial Suppliers,1370.2,1155.0,94.84,nan,1.8,2018
DIRECT LINE INSURANCE GROUP PLC,Nonlife Insurance,Property &amp; Casualty Insurance,4382.12,319.2,188.4,nan,9.41,2017
DIRECTA PLUS PLC,Chemicals,Specialty Chemicals,23.51,47.5,nan,-65.61,-44.18,2017
DISCOVERIE GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,266.29,366.0,20.02,40.53,2.17,2018
DISTIL PLC,Beverages,Distillers &amp; Vintners,10.92,2.23,0.29,nan,nan,2018
DIURNAL GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,13.58,22.0,32.63,nan,nan,2018
DIVERSE INCOME TRUST (THE) PLC,Equity Investment Instruments,Equity Investment Instruments,356.92,90.9,105.09,nan,3.39,2018
DIVERSIFIED GAS &amp; OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,634.91,115.5,16.19,63.56,nan,2017
DIXONS CARPHONE PLC,General Retailers,Specialty Retailers,1393.41,119.65,-31.95,7.79,5.51,2018
DOLPHIN CAPITAL INVESTORS LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,52.92,5.9,19.19,46.52,nan,2017
DOMINO'S PIZZA GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,1092.09,235.9,-14.46,nan,2.61,2017
DOTDIGITAL GROUP PLC,Software &amp; Computer Services,Internet,230.46,75.5,5.73,-41.04,0.85,2018
DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,43.09,77.5,nan,nan,nan,2018
DP EURASIA N.V.,Travel &amp; Leisure,Restaurants &amp; Bars,152.35,109.0,nan,302.66,3.48,2016
DP POLAND PLC,Travel &amp; Leisure,Restaurants &amp; Bars,19.87,11.7,9.14,-28.51,nan,2017
DRAPER ESPRIT PLC,Financial Services,Specialty Finance,534.91,540.0,94.0,nan,44.43,2018
DRAX GROUP PLC,Electricity,Conventional Electricity,1414.28,364.2,323.85,21.36,1.71,2017
DRIVER GROUP PLC,Support Services,Business Support Services,39.59,72.5,24.51,1.1,nan,2017
DUKE ROYALTY LIMITED,Financial Services,Specialty Finance,87.34,43.7,31.97,nan,nan,2018
DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,67.71,327.0,489.19,nan,4.81,2017
DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,348.49,230.5,303.67,nan,4.65,2018
DUNELM GROUP PLC,General Retailers,Home Improvement Retailers,1092.48,558.0,52.55,nan,5.25,2018
DX (GROUP) PLC,Industrial Transportation,Delivery Services,55.02,9.4,-1.19,4.02,nan,2018
E-THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,17.06,6.35,3.95,nan,nan,2018
EAGLE EYE SOLUTIONS GROUP PLC,Software &amp; Computer Services,Internet,26.46,100.6,3.41,-5.84,nan,2018
EARTHPORT PLC,Software &amp; Computer Services,Internet,175.2,28.3,3.1,nan,nan,2017
EASYHOTEL PLC,Travel &amp; Leisure,Hotels,127.71,86.5,110.67,-30.25,nan,2017
EASYJET PLC,Travel &amp; Leisure,Airlines,4389.15,1086.0,568.47,9.28,3.36,2017
EBIQUITY PLC,Media,Media Agencies,48.69,67.0,-26.92,54.63,0.67,2016
ECHO ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,34.17,7.72,1.92,nan,nan,2017
ECKOH PLC,Software &amp; Computer Services,Software,88.63,35.0,5.48,-16.57,1.34,2018
ECO (ATLANTIC) OIL &amp; GAS LTD,Oil &amp; Gas Producers,Exploration &amp; Production,61.45,39.4,7.23,nan,nan,2018
ECO ANIMAL HEALTH GROUP PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,275.33,410.0,63.9,nan,1.73,2018
ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,118.06,127.0,nan,6.76,nan,2017
ECR MINERALS PLC,Mining,Gold Mining,3.12,0.75,0.43,nan,nan,2017
ECSC GROUP PLC,Software &amp; Computer Services,Computer Services,6.14,67.5,19.88,-64.4,11.54,2017
EDDIE STOBART LOGISTICS PLC,Industrial Transportation,Transportation Services,386.93,101.5,-18740.26,51.56,nan,2017
EDEN RESEARCH PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,25.9,12.5,1.73,nan,nan,2017
EDENVILLE ENERGY PLC,Mining,General Mining,2.4,0.15,0.16,nan,nan,2017
EDINBURGH DRAGON TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,668.31,353.0,421.54,nan,1.08,2018
EDINBURGH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1170.94,608.0,715.44,nan,4.14,2018
EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,423.54,719.0,720.02,nan,nan,2017
EDISTON PROPERTY INVESTMENT COMPANY PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,226.13,105.5,106.49,nan,5.07,2017
EGDON RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,18.54,7.13,5.18,nan,nan,2017
EI GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,836.57,188.0,245.06,140.48,nan,2017
EIGHT PEAKS GROUP PLC,Financial Services,Specialty Finance,0.94,9.25,0.18,2.95,nan,2018
EKF DIAGNOSTICS HOLDINGS PLC,Health Care Equipment &amp; Services,Medical Equipment,123.97,28.5,3.58,-11.67,nan,2017
ELAND OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,232.36,107.5,114.02,-3.39,nan,2017
ELECOSOFT PLC,Software &amp; Computer Services,Software,56.05,68.0,-4.42,-8.98,1.43,2017
ELECTRA PRIVATE EQUITY PLC,Equity Investment Instruments,Equity Investment Instruments,153.9,378.75,1980.0,nan,266.67,2017
ELECTROCOMPONENTS PLC,Support Services,Industrial Suppliers,2248.13,480.0,56.45,13.58,2.21,2018
ELEGANT HOTELS GROUP PLC,Travel &amp; Leisure,Hotels,59.95,68.0,99.36,66.6,nan,2017
ELEKTRON TECHNOLOGY PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,80.95,43.5,5.45,nan,nan,2018
ELEMENTIS PLC,Chemicals,Specialty Chemicals,1056.86,181.1,-2.51,41.45,nan,2017
EMIS GROUP PLC,Software &amp; Computer Services,Computer Services,578.03,912.0,3.0,nan,2.54,2017
EMPIRIC STUDENT PROPERTY PLC,Real Estate Investment Trusts,Residential REITs,557.07,91.2,105.7,39.0,nan,2017
EMPRESARIA GROUP PLC,Support Services,Business Training &amp; Employment Agencies,36.27,72.0,-24.53,28.5,1.47,2017
EMPYREAN ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,38.29,10.75,1.77,nan,nan,2018
ENERGEAN OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,962.26,654.5,nan,nan,nan,nan
ENERGISER INVESTMENTS PLC,Equity Investment Instruments,Equity Investment Instruments,1.24,1.0,1.43,nan,nan,2017
ENQUEST PLC,Oil &amp; Gas Producers,Exploration &amp; Production,371.92,20.9,34.22,365.13,nan,2017
ENTERTAINMENT ONE LTD.,Media,Broadcasting &amp; Entertainment,1652.5,352.0,7.35,38.97,0.5,2018
ENTEQ UPSTREAM PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,12.04,19.0,28.1,nan,nan,2018
EP GLOBAL OPPORTUNITIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,128.7,295.5,nan,nan,1.67,2017
EPE SPECIAL OPPORTUNITIES LIMITED,Equity Investment Instruments,Equity Investment Instruments,46.35,159.0,234.43,nan,nan,2018
EPWIN GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,103.62,73.45,16.86,26.79,7.96,2017
EQTEC PLC,Electricity,Alternative Electricity,16.78,1.01,0.13,15.21,nan,2017
EQUINITI GROUP PLC,Support Services,Business Support Services,789.15,205.5,-48.29,26.58,1.56,2017
ERGOMED PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,70.64,165.0,-1.53,-9.18,nan,2017
ERRIS RESOURCES PLC,Mining,General Mining,1.94,7.25,11.38,-81.77,nan,2017
ESERVGLOBAL LIMITED,Software &amp; Computer Services,Software,59.94,4.95,2.78,nan,nan,2017
ESSENTRA PLC,Support Services,Industrial Suppliers,900.52,338.6,24.57,35.21,3.93,2017
ESTABLISHMENT INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,39.4,197.0,246.58,nan,4.95,2018
ETHERNITY NETWORKS LTD,Technology Hardware &amp; Equipment,Telecommunications Equipment,10.58,32.5,-2.72,nan,nan,2017
